content,lable
이번 회차 분량 넘 조금임나 소싯적 드래곤볼 보다말았음,0
그리고 제가 유튭을 보는 입장이라서 그런지 크기 신경쓰이지는 않지만 유튭을 안보면 내용이 이해가 안간다,0
그림체 허접해진 건 그렇다 치고?,0
에바다 너무 양산형 아닌거에 집중시킬려한 느낌?,0
다른 작품 주인공들은 부모 걱정을 안 하냐고?,0
진짜 초딩이 그린만화 아이디어 그대로 가져온거같나 ㅋㅋ,1
2부때가 레전드였네....,1
이게 무슨 내용임...,1
"칙칙한 색깔과 모든 등장인물들의 눈에 동공이 없고 눈동자가 비정상적으로 큰건 ""현실을 비판하는 작품이니 최대한 불쾌하게 그려넣자!""라는 이유같은데",0
댓글 물타기 너무 심하네｡,0
뜬금없이 등장하는 마법사 아닌 마법병기.,0
일단 저도 신작이다,1
알바 풀었나..,1
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ생각없이 보면 개재밌다니까ㅋㅋㅋㅋ 뇌절도 과하면 예술이야 ㄹㅇ,1
몰입감 대박,1
요즘 굳이 저렇게 어렵게안해도 cctv로 동선다따면 금방 잡으니까 남의 물건 파손하지마십쇼,0
지금을 즐겨라,1
이번엔 제대로 마무리 좀 해라,0
c급 선별인원인데 가주들이랑 자하드니 다 마주치고 아주 난리나네,1
적응할만하면 새 등장인물 이제 누가 누구편인지도 분간이 안간다,0
근데 일일퀘가 아니라 주간퀘아니냐?,0
소설에서 욕먹는걸 웹툰으로도 그대로 갖고와버리네...,0
샹크스 현현해서 전쟁끝내먼될걸 어렵게가냐,0
19화 20화 쯤 말고는 다 괜찮은데?,0
그림실력이 죽어라 안느는데 걍 작화가를 구하면되는걸,0
아니 저 여자애도 저런애랑 사귀는거부터 ..,1
진짜 너무한거 같아서....,1
걍 별점 5점대 밑으로 내려가면 연중시키면 안되냐? ㅋㅋ,0
근데 캐릭터성 무너진건 ㄹㅇ맞음,0
지옥열차 부터는 스토리가 너무 늘어지는 바람에 점점 의무적으로 보게되었고 지금처럼 스토리가 진행되다간 독자들이 다 떠날 것 같네요.,0
진짜 웃긴데 그림도 잘그리시네요ㅋㅋㅋㅋ,1
하...,1
유명해서 그냥....,1
오글오글,1
뇌빼고 볼까했는데 도저히 못보겠다...,0
최소 억대받는걸 합방ㅇ 5년간자체 컨텐츠도없어서 뭐할까요,0
이 부분이 이렇게 강조될 일이었나?,0
얼굴 궁금한분 걍 미리보기 켜서 보셈 ㅋㅋ,1
이제 미리보기 쿠키 3개 시대가 열리는가..,1
분량이 불량이네,0
이번 화 보고 안심하고 떠납니다,1
아니 스토리이랑 대사를 혹시 챗지피티가 썼나요?,0
재밌네요 ㅋㅋ,1
"이쁘게생긴.,",1
달리고 싶어서 왔는데 왜 시합을 해?,0
이거 ai로 그리는거네.,1
팩트 그림작가의 잘못이 아니다그림작가를 배정한 네이버의 잘못이다,0
너무 재밌어요,1
작가새킨 독자에 대한 배려가 1도 없는거임,0
일주일에 한편씩 보는 사람에겐 이해가 애매하게 되면서 무슨내용이야 하게 되니깐 전개가 느린거같죠,0
8년 공부해서 4등급 5등급 나오는것도 참..,1
거긴 그림 없이 글로 스토리 진도 팍팍 시원하게 나가니까 거기로 가시면 되겠네,1
주특기가 판사봉은 아닐것 같은데??,1
와 씨 이름 ㅈㄴ 짜치네,1
질질끄는거 하나는 탑이다 탑,0
만화는 이런 전투씬 보려고 보는건데,1
용두사미,1
에반켈이 생가보다 약하네,0
"""청명이 다 두드려 패길 바라는거냐?""",1
전화에서 둥지입구는 55층이고 둥지는 50층?,0
엄청 징징대네,1
그런 마키나식 스토리로라도 어떻게든 마무리를 지으면 안됐나?,0
파워생수 한판 해라,1
일본이름달고당당하네,1
공성전에서 공성무기 예상 못 함,0
양영순이 더 이상 좋은작품 못만듭니다!!,0
해자가 너무 짧은거 아니냐,0
미리보기에서 하나 풀어야지 휴재때 매번 쿠키쓰면서봤는데 이젠 그냥 안쓸란다,0
전쟁중인데 원피스입고 그위에 갑옷입고 있는게...,0
데뷔 못한 작가들 한트럭인데 에휴,1
근데 당군악은 처음에 화산오검이랑 청명이랑 사해상회까지 싹다 몰살할 계획도 있었고 청명을 직접 죽이려는 묘사도 나왔는데 갑자기 자기보다 어린 애한테 독을 쓰네마네 하는건 너무 캐붕아님?,0
몰아서 보면서 왔는데 확실히 한화 한화 기다리면서 읽던 독자는 지루할수도 있을듯ㅋㅋㅋㅋㅋ 전 개꿀잼이었어요,0
빠른 템포에 자극적인 웹툰들이 주를 이루다보니 신의탑이 그런 흐름에 휩쓸려다니는 것 같아서 많이 아쉬움.,0
그냥 이만화는 이런만환가 하고봐라,1
이럴려고 미보있는줄 아는사람있을꺼같아서 댓글담 미리보기는 말그대로 다음이 궁금하면 미리보기위해 돈을주고보는거지,1
잔짜 여기 악플넘들은 요상한게 애정이 깊어 상처주고 싶은 떠난 연인같으,1
확 느려진게 느껴지네요,0
길게 그리지말라고 ㅡㅡ 이펙트 안웅장해 그냥 먼지 모르고 내리는거야,0
머가 다들 불만이라 댓글 없는게 더 강합니다!,1
너무 재밌는데 ㅋㅋ,1
처 맞을때 마다 커헉커헉 거리네 개추충들 하고 다같이 목따버릴까보다,1
이할미가 ㅜㅜ,1
양판소 웹툰 멈춰,0
별점 왜 이런거?,0
내가 죽는장소는 내가정한다.,1
하긴 그정도 염치를 알았으면 독자들 개돼지 취급하면서 인스타질 했겠냐만ㅋㅋㅋ 정치만화도 아닌 플루타크에서 뜬금없이 정치인 비꼬는 에피소드 쳐넣던 새기가 인간수준은 정치인보다도 못하네ㅋㅋ,1
너무 오래끈다.,0
작화가 엄청 좋아졌네,1
"""그럼 그렇지 사람이 변해?""",1
다음 퀘스트 - <잊혀진 기억 찾기1> 이런거냐.,1
쿠앙 ...,1
진짜 죄다 정상이 아님.,1
재밌게 잘 봤습니다!,1
제 닉네임 시청자 아이디로 넣어주세요!ㅎㅎ,0
분위기 왜이렇징,1
노잼으로 가는 것 같다,0
ㅋㅋㅋ 그래 요욜심히 지져라,1
아마 거의 덴경대였던 사람일텐데 아마 거의 덴마 10점 주었던 사람일텐데 어느 작가는 표절 논란있던 작품도 욕먹을 각오하고 내용 싹다 갈아엎고 제목 그대로 재연재 하던데 ....,0
장애인들아,1
"우리 청명이는 계획을 가지고 깽판을 쳐, 걱정 마",1
하지만 여론을 무시하면 아무도 그고생을 알아주지 않는다는걸 좀 알았으면 좋겠음,0
민주당윈이네,1
오물풍선같은 웹툰이네,1
랑 초반에 라헬이 탑에 들어왔을때 헤돈이 당신이 아닙니다 라고 선별된게 네가 아니다 라고 라헬한테 말했던거 이 두개만 보면 역시 밤하고 라헬 운명 바뀐거 아닌가,1
그냥 불만있으면 보지를마라,1
ㄷㄷ 재밌다,1
저저 핵쟁이 쳐내,1
10년 넘게 이어지고 있는 작품치고는 탄탄하다고 봄.,1
오 맛있다,1
진짜 애새끼가 그리는거 같네,1
게임 팔이 양산형 웹툰으로 변질,0
원로원주 이기는 법첫번째:해독제랑 혼원단(없으면치료제)를 두둑하게 준비한다.,0
저런 불효 막심한 놈들...;;,1
이게 짧다고 말하는 사람들은 ㄹㅇ 격기 3반 보고 와봐라....,1
중세전투 이런거 하나도 모르고 공부안한게 티가 너무 남,0
뺑뺑이 시키고 했는데..,1
감사합니다.,1
양영순이는 더 이상 덴마와 같은 명작을 못만들것이라는 확신ㅇ 생기네요,1
남미도 아니고...,1
잠깐 나와봐,1
매일 연재도 아닌데...,0
탑의주인의공격을 어떻게 버티셨나요??????:,1
아니 짧아서 뭣하면 보지를 마...,1
아예 뇌절 웹툰이걸 감안하고 보니까 왜 꿀잼이 되는건데? ㅋㅋㅋㅋ,1
그딴건 모르겠고 효과가 맛있다.,1
"근데 생각해보면, 그냥 [영역대상:지구전체]로 하고 모든 몬스터 소멸하는 스킬도 가능할 것같은디...",0
서울대는 서로 등에 칼박고 위선떠는 자들 투성이라 서로 밀어주고 끌여주는 거 없다.,0
속눈썹은 왜 안넣는지도 이유를 모르겠음.,0
와 작가 중2병 미치겠네,1
"연출, 움직임에 대한 자연스러운 연계가 많이 아쉽네요.",0
네이버에서도 오케이한부분인것같구요.,1
내용은 좋은데 분량이 짧네 뒤지게 짧네,0
작가님 아프시면 1달동안 운동겸 요양하시죠,0
수염달린 아저씨..,1
작가어르신 요즘 애들 안저래요,0
애쓴다 ㅂㅅ,1
어느순간부터 노잼 웹툰 됐네!!,0
ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ 와 그림 진짜 미쳐따,1
내가 알던 시우는 몇년전에 죽었다..,1
뭘 위해서 저리하나,1
말은 그렇게해도 별점은 솔직한걸.,1
연출 미침 푸른 독으로 뒤덥혔던 하늘이 다시 푸르고 그 속에서 매화가 내림,1
ㅋㅋㅋㅋㅋ 아이거그냥 개그물이네,1
전 작도 진짜 재밌게 봤는데 너무 기대돼요ㅠㅠㅠㅜㅜㅜㅜㅠㅠㅠㅠㅜㅜㅠ,1
이전 그림체 그립다,0
근데 하진성도 못이기는 빡겜중인 초 하이랭커 뒤마가 고작 선별인원을 바로 못잡고 고대종이라지만 선별인원의 아무 시동무기도 아닌 창을 몸 돌려가며 피했다는게...,1
태주니 건달들하고 마약 총판 뛰냐?,1
실력있는 작가들이 얼마나 많은데 공정해야할 웹툰판에 이런 짓은 난 용납못한다 ㅡㅡ,0
그래 너 당가의 당외야,1
장발수염남캐의 크롭티?,1
"만화 퀄리티에 대해 초반부터 문제라고 생각했는데, 어쨌든 이런 퀄리티로 요일 순위권 올라온거 보면 대단하네 ㅋㅋㅋㅌㅋㅋㅋ",0
호랑이할배랑 사이좋게 초장기휴재,1
유명세인가?,1
액션이랑 연출 부분이 뭔가,1
케릭터들 얼굴이 막 바뀌는데 뿔도 여기저기 막 이동하고 이정도면 ai로 채워넣는 페이지가 있다고해야하는가 아니냐,0
매화민천과 매천화우를 어레인지해서 드셔보시겠습니까?,1
휴재 ㅈㄴ 오래 해도 볼 사람은 끝까지 다 봤을텐데 어영부영 헛소리 연발로 사실상 연중해놓고 끝이라면 끝인가 싶고 참,0
우렉 마지노선?,1
나이스 유도리 나이.,1
댓글 보아하니 인스타툰에도 연재하신 것 같은데 인스타와 네웹 플랫폼은 엄연히 다르죠,0
등장인물들 이름 꼬라지 봐라ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1
근데 진심으로 이렇게 스토리전개 느린 웹툰은 처음보는데 커버치는 이유는 뭐임??,0
나화진이 소년교도소에 온건 G.Y가 선전포고를 선언했기에 나화진과 교권국 그리고 교육부 전체가 G.Y에 대한 선전포고를 받음과 동시에 역으로 G.Y에 대한 선전포고하기 위해서임,1
9수 내란괴물놈 까는거니?,1
작화진짜 미첫다,1
B 이라니 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ진심 중2병걸리신분들이 다모였네 ㅋㅋㅋ,1
중간부터 개재밋네 ㅋㅋㅋㅋㅋㅋㅋ,1
이런 넝마가 되어버린...,1
3부쯤 왔으면 선별인원시절하던 게임은 이제 그만하고 진지하고 좀 웅장하게 이야기의 절정으로 향해야지 이게 뭐야??,0
ㅈ같은 게임과 ㅈ같은 전투씬은 여전하구나ㅋㅋ,0
진짜 그림 그지같다..,1
그럼 원로원주랑 싸우는 당가 에피소드 마지막 전투를 동네 개방 거지들 잡듯이 몇 컷만에 잡으면 그건 진도 빠르게 뺀 거니까 좋은거임?,0
이건 좀 심하지 않습니까...,1
물리도 대화야^^,1
ㅋㅋ그러니까 쌍둥이 서울대 동생의 존재는 모르는 거고,1
구스트앙은 왜 신원류를 안쓰냐,0
괜히 드라마 나온다니까(솔직히 말도 안된다) 부랴부랴 비슷한 컨셉으로 또 가는 거 같고,0
이해 안 감,0
니네는 명작으로 가자.,1
얘 인터뷰할때 새 작품 연재할거고 초반 욕은 감수 할거며 시간지나면 여론 돌아오겠지 식으로 얘기 하지 않았나? ㅋㅋ,1
스토리 진행에 큰 지장 없으면 과감히 스킵도 하고 해야지.,0
와 진짜 미치도록 .....,1
ㅇㄴ 메랜도아니고 지존은 너무 화나네,1
반면 위에 모든걸 다 담을려면 작가님 손목 아작날텐데 그걸 바라시는건가?,0
ㅃㄷㄱㄹ인가,1
쿤 건은 좀 글치만..,0
그것도 모르냐,1
개재밌네,1
작가 바뀌기 전만 해도 절대 이렇게 망할 작품이 아니었는데 쩝,0
선별인원 중에서는 강한 편인 얘네도 쓸모없는데 이수나 이런 애들은 어카냐 라크랑 쿤을 데리고 갈려면 선별인원들만 모아서 탑을 오르거나 강해지는 스토리가 필요함,0
밤 포지션은 파도잡이가 아니라 상담사 아니냐.,0
ㅋㅋㅋㅋㅋ 작화 왜이래,0
이렇게 단순한그림체로 다 닮게 그리고.,1
다.^.^,1
5편짜이로 50편을 만드네 양심 쩌네 정말!!!,0
이작가는 독자들의 뒤통수를 없애버렸어,1
뭔가 맛깔나지 않기는 함.,0
이러니까 사람들이 돈내고 안보지,0
스토리 작가 따로 두셔야할꺼 같은데,0
태준이형 이럴거면 후재를하는게어때,0
그냥 소설로 가자 웹툰은 재능이 없다,0
무섭다,1
"난 재밌는디,, 다음화가 별로라는건가",1
아아..,1
누군가 했네 ㄷㄷ,1
천본앵,1
이번화는 별점이 왜이러냐.,1
끝..??,1
배꼽티 다시는 입지마라 열받네,0
등장인물도 수백명이라 일일히 서사 풀고 넘어가기엔 루즈해지니 에피소드별 핵심 외엔 간략히 보여주시는 것이죠.,0
각각의 상황 설명이 더 필요하고 내용전개가 되도 나쁘지 않을거같은데~ 너무 빠르고 예상이 되는 전개같아보이네요.,0
수고하이소~,1
왤케 현실 반영 안됬다거,0
야스라챠 정말 잘만든 캐릭이엇는데..,1
미리보기가있는데 대체 미루는 이유가 뭐에요?,0
별점이랑 댓글보고 그러려니 하고 봤는데 생각보다 재밌겠는데..?,1
본능적으로 1점을 줬다,1
박형식 전개 ㅜ 기안 그림체아까움,0
쉽지않네..,1
지존,1
19편 몰아봤는데 시간 가는 줄 몰랐다 그리고 아무것도 모르겠다..,0
먼데 몹이 느려져?,0
나화진 실망..,1
중력자보다 처음 직업인 도적이 더 쎄보이면 개추 ㅋㅋㅋㅋ,0
몰아보니까 괜찮은데 인물들이 너무 많이 나옴,0
독자는 생각 없이 보길 원하나보다,0
휴재 7주전~,1
누가 별테함;; 왜 1점대가 아닌;,0
야 이놈들아 내가 별테 하지 말라 했지.,0
ㅋ ㅋ ㅋ ㅋ ㅋ,1
학생이잖아?!,1
"끝날 수 있었는데, 나의 최애가 분량을 질질 끄는 사건에 대하여..",0
칠매검에 깨지는 설화만천따위보다 훨씬 예쁘구만.,1
게임하느라 웹툰이 망해가네,0
제일 지적이게 생겼는데싸우는건 터프한쪽에 속하던데,1
뒤에 가면 가주랑 또 체스 게임함ㅋㅋㅋㅋㅋ,1
별점이.,1
구스트앙 소중한사람 지키라고 받은 블라썸의 불꽃 딸아이가 죽어갈때도 안쓰더니 자기 위험하니까 바로쓰네 ㅋㅋㅋㅋㅋㅋㅋㅋ,1
"그럼 보통 외부 엑시저는 새로 파견(이번 화 질문이 가르키는 존재가 자하드인지 새로운 외부인인지는 모르지만)을 해야지, 죄인의 자식에게 기회를 또 주는건 이상하잖아 ㅋㅋㅋ 여기서부터 추측 시작해야하지않을까?",0
가 끝이잖아요.,1
장르 종합세트임?,1
캐릭터매력 네이버웹툰 최강!!!,1
군단장vs하진성 에피소드 무렵 당시 지옥열차까지만해도 이렇지 않았다,1
ㄷ,1
떡밥이 아닌 똥밥 스토리 이해도 안돼고 뭘하려는지 알빠노님 덴마를 그따위로 끝내놓고 염치없이,0
오오옷,1
그새 또 run,1
여자라도 전쟁나면 바지를입기마련이지않냐..??ㅋㅋ,1
갑자기 오지랖으로 사건을 캐려해?,1
관속 들어갈때도 완결 안나오겠누,0
똑같아,1
별점 왜이럼?,0
그 사이 결혼도 하고 애도낳고 은행빚 조금끼고 집도 사고 아이도 이제 곧 중학생이 됩니다.,1
"아직 5화 밖에 안나왔는데 그게 무슨 소리냐고 하실 수도 있지만,영화 예고편이 딱봐도 재미없으면 본영화를 볼 이유가 없듯이,오히려 5화가 나왔음에도 불구하고 이런 문제가 터졌다는 것은 작품의 악영향을 줍니다.",0
난 재밌는데 작가가 뒷돈써서 걸리기라도했나?,1
"와 미띤 ㄹㅈㄷ 고퀄 애니 보는 느낌.,,",1
하차합니다.,1
근데 나화진 학교 주위에서 흡연 아님....?,0
잘 보겠습니다,1
무지성 쉴드에그림수준 미달 스토리 전개 느리고 상식적인 고증 오류,0
엔도르시는 자하드의 공주라지만 선별인원인 신분인데 하이랭커를 상대로 말싸움을 하고 툭치면 죽을 애들이 너무 설치고 다님,0
1점 주러왔다 양가야,0
ㅋㅋ. 조또없으면서.,1
박만사가 네이버웹툰 안락사 시키는 중 ㅇㅇ,0
그래 마지노형..,1
ㅋㅋㅋ 작가님 현실고증 ㅋㅋㅋ,1
당외 그래도 사패련이 쳐들어왔을때 갱생함,1
별점달러왓다.1점 무지성 투하,0
이 때 당시에는 한 주 한 주 답답했는데 정주행하니 재밌다.,1
오늘 쿠키 굽고 다시보니까 이번화 엔키두 ㅈㄴ 레전드네 ㅋㅋㅋㅋ,1
작화쥰내이쁘다,1
억지로 유행어 따라하는 어르신같은 만화네,0
아무리 생각해도 말이안되...,1
x세대는 지났다구요,1
웹툰본지 10년넘엇는데 별점1점주러 찾아오는던 이게첨이자마지막..,0
요즘 제 최애입니다.,1
그냥 쿠키 안쓰고 보면 볼만한데 오바들 ㄴㄴ,0
무슨 거의 5분동안 일어난 일을 거의 2~3화로 뽑아먹고있네...,0
작가님 이래라저래라 하는 독자들 때문에 많이 힘드시죠?,1
ㅇ하는게 방송커지겠너ㆍ,0
이렇게 보니까 임한림 특수부대 시절도 나옴,1
형...,1
아니 그니까 이게.,1
라헬이 원래 비선별인원 이였는데 자하드가 뺏은거지 기억을 잃은 자신으로 바꾼거...,1
진짜 한개 작품 으로 우리고 우리고 또 우려먹고 해서 이제 그냥 맹탕 물이 됬네..,0
주인공이 늑대로 변해서 일찐 쓸어버리는게 좀더 개연성 있을듯,0
그니까 일본 탑 웹툰이라는 거져?,1
바로 튀튀 이건 별로다,0
총 인원 7명이면 본인+의수한 애 빼고 5명 베어야하는데 6명임.,0
꼭 뭔가,1
알바들이 손가락 놀리는 걸 못참을수록 사태는 더 길어질뿐,0
난 느린거 모르겟는데?,1
그 동안 모아둔 돈도 없고 헌터 아니면 직업 없냐.,1
슬프다,1
근데 이게 일러스트집이야? '분량',0
그림체가 작품 분위기를 못살려요,0
이제 3월 봄학기 막 시작한 새내기인데 교수가 저 여자애가 공부만 하는앤지 아닌지 어케알지,1
이정도 퀄리티로 네이버웹툰에 들어온건 진짜 문제가 있다고 보네요,0
박만사 에서 나온만화보면 내용이 조금 뻔하긴함...,0
그래서 시대의 흐름을 따라가는거고??,1
윤종 사형은 맨날 눈 감고 살잖..,0
병맛웹툰이 아니라 그냥 OOO인데...,0
'보는 데'에는 지장이 없지만...,0
칠가이,1
진행하는 퀘스트중 하나인것같은데 이걸로 몇화씩이나 가져가는 거는 좀 너무하다 생각도 들고 그 속에 우겨넣을 떡밥이 있지도 않다.,0
이때는 몰랐지,1
와~ 이런 저급만화가 네이버에 있다니,1
분량좀더 길거나 아님 아예 넷컷만화로 압축하시던지 몬가 애매해요ㅜ,0
스피드하게 지나갈곳은 지나가는게 맞을것 같습니다,0
나는 좋은데.,1
전작은 세상을 향한 복수심에 딸을 킬러로 만든 가장과 킬러인 고교생 여주의 이야기를 다뤘다면 이번 작품은 말없이 조용한 싸움 끝판왕 남주의 서사물이네요.,1
내용이 알려지긴 했나?,1
절대안봄,1
뭔 말인지 모르겠다.,0
몰입력이 대단하네 보통 웹툰보면 딴생각하면서 보게되던데,1
왜 갑자기 플레어에서 플레이가 됐다기 다시 플레어가 돼냐 ㅋㅋ,1
편의점 진상들은 그냥 죽여도 합법으로 인정해줘야한다 진짜ㅋㅋ,1
욕하니까 저는 이정도가 딱 좋고 전개도 서사도 다 맘에 들어요 ㅎㅎ,1
재정비좀 하고오심이..,0
더 해주세요,0
밤은 혁명의 불꽃인거고...,1
뇌 빼고 보면 볼만하네,0
안 보고 별점 1점 주고 가요..,1
그림체 좋은데 내용 때문에 못 보겠음,0
혹시나 만화보는 흑우들 있을까봐 들어왔는데 다들 나랑 같은 마음이라 다행이다.,1
네이버는 박만사라고 다 통과시키나보네,0
부모님이주신것들을저런쓰레기같은시스템이나이용하다니.,0
어 그래 넘어갔어.,1
"라고 따로 명확하게 정해져 있는 건 아니지만, 장르마다 독자들이 익숙해져 있는 보편적인 그림체를 가진 작품들 사이에서 갑자기 전혀 다른 방식의 그림체를 가진 작품 하나가 나 너네랑 같은 장르인데?",0
8수해서 5등급이면 부사관이라도 해라,0
그림체 기안삘나서 뭔가하고 봤는데 하차함,1
웹툰들이 다 혼동됐는데?ㅋㅋㅋㅋ,1
뭔 내용인지모르고 그냥 내리고만 있엇네 ......,1
그럼 그림체 이해되는데 진짜 모름,1
뭐가 문젠거냐,1
존나 기생오래비...,1
걍 후지토라 하세요,0
전계 느리다고 그만 징징거리고 니들이 그려,0
아무튼 정주행 계속 간다~,1
전체적린 스토리를 보면 참 재밌능거 같은데정주행으로 보세요,1
이해가안되네,1
천마 단전에 있던 커다란게 미드로 갔네...,1
기승전결에 그림체 대사 스토리까지 갓벽한데 냅둬라,1
나.화.,1
"""본진이 뭘 알아""",1
너무 응원하는 웹툰이고 앞으로가 기대되는 웹툰이지만 그만큼 걱정도 커지네요.,1
열심히 살던 애 인생 너무 억까해서 막장만드는것부터가 노잼 악플로 보일지도 모르겠는데 재미없는걸 재미없다고 말하고 자극적인걸 자극적이라 말해야겠다.,0
원래 긴 만화책도 보다보면 중간에 겹치거나긴 서사도 많음.,1
최악이다.,1
자하드의 필승카드라 불리는 이유가 있겠죠,1
연재될 땐 욕했지만 지금 보니까 ㅈ나게 재밌네 ㅋㅋㅋ,1
신의탑 재미가 갈수록 줄어드는 이유가 너무 긴장요소가 부족함,0
개판이내 그래서 뇌빼고 보긴좋네,0
이제 댓글들도 쉴드가 많아지면서 사람들끼리 싸우네,1
대결이냐 대화이냐,1
다통하면 걍 적의 도구일뿐인데,1
등장인물만 맨날 끝없이 나오고 원피스처럼 케릭터를 개성있게 그리는거도 아니고 비슷한 애들인데다 파워인플레이션이 너무 되서 1-2화지나면 쩌리되고 재미가 없음....,0
"카레안좋아하는 셰기가 카레집 가서 카레맛없다하고김치안좋아하는 셰기가 김치찌개집 가서 맛없다하고 돼지고기안좋아하는 셰기가 돼지고기집 가서 맛없다하고 재미없다면서, 니 취향 아니라면서 왜 기어이 와서 옝병을 하는거야 ?",1
연재종료하면 게임 못팔아 먹으니 그냥 무기한 휴재 때리고 접자 시우야,0
근데 분량 짧은 걸로 이렇게 화낼 일인가..?,1
컨셉이 완전이 바뀜;;;;;;;,1
더게이머 보는기분 그림도 걍 구려,0
웃음만 나오네 ㅋㅋ,1
10년빽섭....ㅠㅠ,1
공부를 저렇게 했는데 저 성적이면 그냥 오로지 본인 잘못 아닌가.,1
다른건 몰라도 수업 중에 나간다고 불러서 추궁하는 장면은 진짜 좀 아니다 ㅋㅋ '설정상 그렇구나' 로 넘어갈 수 있는 정도를 넘어섰다고 봄,0
거래 작가님!!!!!!!!!!!!!!!!!!!!!,1
공략 진행을 두고 v와 자하드의 싸움.,1
요래 ㅋㅋㅋㅋ,1
내용 자체는 재미있는데..,0
법이 참 좋아..,1
"솔직히 다들 각자 입맛에 맞는 웹툰들 많이 있을테고, 자꾸 성에 안 차면 거듭 불만을 표할게 아니라 그냥 만족시켜주는 웹툰으로 가서 쿠키 구우면 될거같은데....",0
그리고 공성전은 병력 수가 2배면 시도는 할 수 있다,0
"난 다른건 모르겠고 등장인물이 너무 많아서 이름을 모르겠음 .,",0
변함없는 발암=밤..,1
하~~암,1
그림만 볼게요;,1
4주만에 왔는데 ㅋㅋ 밸런스가 엉망이네 ㅋㅋ,0
"아니, 도대체 클리셰도 제대로 모르면서 뭔 클리셰야.",0
애들 다 밤한테 죽겠네ㅋㅋㅋㅋㅋㅋ,1
오글거리고 대사 때문에 ㅇㅇ 평점 5,0
음 다르네?,1
너무 캐릭터들의 무게가 없어졌다고해야하나 대사도 친구들끼릭 막얘기하듯 비속어도 많아지고 그래서 그런지 예전 신의탑의 진지함이나 무게가 덜해진거 같은 느낌입니다.,0
다른 랭커들도 신의탑 초기엔 랭커나 워낙 넘사벽으로 나왔는데 지금은 지파장들도 병졸 수준으로 보이네요.,1
이건 뭐 모르는 사람들은 충분히 불만이 나오는 퀄리티와 분량은 맞다고 봄.,0
몸의대화=폭력 ㅋㅋㅋㅌ,1
땋은 머리가 사람 목 벨때 인원수 안맞음.,0
하고 욕심도 나긴 할 듯,1
이샛기거 보지 마라 여태 완결 제대로 낸 적이 없음; 난 바로 1점 박고 간다,0
차라리 소설로 글만 쓰자,0
2.치킨마요 3. 휴재각 잡지마요,1
"라면서 X맨 놀이하는 애들 있는데, 괜히 개수작 부릴수록 비판만 더욱 신랄해질거임 ㅇㅇ",0
규철이 갑자기 철부지가 됐노ㅋ 포스가 마이 죽었네,1
소설도 진도 느린데 이건 더 심하네,0
음....,1
재밌겠당,1
밤이 칼라반을 이긴다면 하진성보다 강하다는 건데 그건 너무 벨붕이 아닌가..?,1
네이버에서 연재될만한 웹툰은 아닌것같습니다.,0
설령 원작자가 안계셔도 그러므로 더욱 더 신중하다구요.,1
하차합니다,1
아 맞네,1
제10화안에 ㅈ된다,1
난 가볍게 볼 수 있어서 조음 짧아서 지루하지도 않아...,1
말풍선으로 가린 부분조규철 점마 설마 ㄸㄸㅇ치는거임?,1
니 도적 버려?,1
이..,1
마치 돈내고볼거에요~,1
뭐가짧다는거야,1
네이버가 이런거 다 감안하고 계약 했을거 같은데이런 짧게 소소하게 볼수있는 웹툰 스타일도 좋은것 같아요,1
각성 이유 개하찮네 ㅋㅋㅋ 능력치 제한해둬서 힘이 약했었다니,0
"캐릭터는 전 그림체가 개성 있긴 했는데 전체적으로 보면 이 그림체가 훨 낫구만...1,2화 다시보고 와라",0
알바생들 좀 스토리 설명좀시켜라..,0
막컷 왜 귀엽냐ㅋㅋ,1
진짜??ㅋㅋ,1
분노의질주처럼 드래그뛰러 왔다는것도 아니고 ㅋㅋㅋ 내용이 슬슬 산으로~~~~ 그리고 전개는 만나서 달리자 하고 아직 달리지도않음ㅋㅋㅋㅋㅋ,0
이름 바꿔줄때까지 묵언수행중인듯,1
근데 왜 재밌지?,1
아니 다 좋은데 중력 마법으로 찍어누르는게 아니라 걍 검사네..,0
정말재미있네요(1점을 주며),1
몰입이안됨.,0
7년 휴학이 말이 되나현실성좀 챙기지,0
불었는데 묵살하는건 뭔데 ㅋㅋㅋㅋㅋ 뭐 답정너이???,0
왜 독자와 싸우려하지?ㅋㅋㅋㅋㅋ18화인가19화까지의 그림체를 독자가 싫어하지 않는데 굳이 바꾸어서 욕 처드시더니 고집부리며 유지하네 ㅋㅋ,0
앞으로 잘 볼게요!!,1
진짜 이름이 지존만 아니었어도 어떻게 좀 볼 것 같은데......,0
그게 싫으면 성장형 만화는 보면 안되는거고.,1
이걸 정식 웹툰으로 연재시키는 네이버도 무슨 정신인지 모르겠다 ㅋㅋㅋ,1
단순히 예전 그림체와 현재 그림체를 누가 더 잘그린그림인가를 비교 한다면 대부분 현재 그림체를 잘그린그림이다 할것임,1
학교까지는 그냥 넘어갈 수 있겠는데 군대는 ㅋㅋ 상상하기도 싫네.,1
재밌어,1
